Ano Vigente,2019,2018,2017,2016,2015,2014,2013,2012,2011
Receita Líquida de Vendas e/ou Serviços,19886309,15590444,11984250,9508746,8978259,9779385,22172922,7665112,6419371
Custo de Bens e/ou Serviços Vendidos,-14332350,-11053022,-8378239,-6586130,-6399630,-7086909,-15247125,-5146597,-4275084
Resultado Bruto,5553961,4537422,3606011,2922615,2578629,2692476,6925797,2518515,2144287
Despesas Com Vendas,-3444112,-2747447,-2119953,-1776258,-1720799,-1746258,-4365789,-1581049,-1270971
Despesas Gerais e Administrativas,-1188562,-759833,-679085,-615545,-584280,-556882,-1429211,-481965,-441566
Perdas pela Não Recuperabilidade de Ativos ,-75993,-59737,-41921,-26074,-30462,-22547,-604662,-338519,-244931
Outras Receitas Operacionais,416662,53389,36486,13505,20233,24519,156292,31283,26841
Resultado da Equivalência Patrimonial,26607,57757,86156,62702,75605,99620,54464,0,0
Financeiras,-70413,-294688,-410821,-503849,-486055,-360742,-581982,-172297,-165723
Receitas Financeiras,640917,133929,110107,116655,130297,96469,176779,55695,51686
Despesas Financeiras,-711330,-428617,-520928,-620504,-616352,-457211,-758761,-227992,-217409
Resultado Antes Tributação/Participações,1218150,786863,476873,77096,-147129,130186,154909,-24032,47937
Lucro/Prejuízo do Período,921828,597429,389022,86565,-65605,128556,118727,-6745,11666
